Date;ner_gt;omas_mn;emision
1/09/1996;6.05;4716.9;3871
1/10/1996;6.06;4955.1;4007.8
1/11/1996;6.01;4642.3;4106.6
1/12/1996;6;4505;4819.8
1/01/1997;6.06;4534.4;4549.4
1/02/1997;6.1;4429.8;4631.8
1/03/1997;6;4404.5;4853.4
1/04/1997;6;4247.7;4541.7
1/05/1997;5.98;4315.9;4449.7
1/06/1997;5.93;4356.7;4497.8
1/07/1997;5.96;3853.8;4519.5
1/08/1997;6.08;4027.4;4436.7
1/09/1997;6.11;3722.4;4394
1/10/1997;6.15;3650.1;4555.9
1/11/1997;6.22;3432.1;4789.5
1/12/1997;6.19;3052.1;5476.1
1/01/1998;6.26;2536.7;5232.6
1/02/1998;6.22;2425.3;5308.6
1/03/1998;6.27;2645.3;5306.3
1/04/1998;6.29;2934.3;5339.4
1/05/1998;6.28;2681.1;5262.3
1/06/1998;6.31;3219.6;5252.3
1/07/1998;6.35;3126;5383.3
1/08/1998;6.4;3562.9;5313.5
1/09/1998;6.49;3171;5189.3
1/10/1998;6.57;2950.5;5363.3
1/11/1998;6.57;2103.9;5511.7
1/12/1998;6.73;2449.1;6307
1/01/1999;6.98;2359.1;5946.3
1/02/1999;6.88;2292.9;6079.7
1/03/1999;6.98;2411.2;6580.4
1/04/1999;7.07;2400.1;6342.2
1/05/1999;7.27;2394.3;6310.2
1/06/1999;7.36;2325.5;6295.4
1/07/1999;7.39;2865.7;6457.6
1/08/1999;7.66;2855.4;6365.9
1/09/1999;7.78;2907.9;6321.6
1/10/1999;7.81;3106.8;6571.1
1/11/1999;7.77;2932.1;6857.7
1/12/1999;7.67;2630.5;8428.6
1/01/2000;7.88;3499.6;7614
1/02/2000;7.79;3773.6;7385.7
1/03/2000;7.72;5464.4;7364.9
1/04/2000;7.71;6905.8;7352.6
1/05/2000;7.7;8030.8;7003.3
1/06/2000;7.73;8504.1;7052
1/07/2000;7.75;8889.6;7205.7
1/08/2000;7.75;9016;6957.9
1/09/2000;7.8;9434.1;6975
1/10/2000;7.82;9292.3;7169.1
1/11/2000;7.77;8893.7;7324.2
1/12/2000;7.73;8612.9;8214.2
1/01/2001;7.8;8513;7598.5
1/02/2001;7.74;7974.1;7618.6
1/03/2001;7.7;9674.8;7800.3
1/04/2001;7.75;10064.5;7803.8
1/05/2001;7.77;10166.5;7730.2
1/06/2001;7.8;11132.6;7787.6
1/07/2001;7.8;11521.6;7987.8
1/08/2001;7.85;11300.2;7862.7
1/09/2001;7.95;10972.2;7893.8
1/10/2001;8.11;10317.7;8248.3
1/11/2001;8.08;11100.3;8500.1
1/12/2001;7.96;11011.7;9475.9
1/01/2002;8.02;12126.2;8783.1
1/02/2002;7.94;12460.8;8813.8
1/03/2002;7.91;12052.9;9340.7
1/04/2002;7.82;12186.1;8928.6
1/05/2002;7.87;11932.4;8715.3
1/06/2002;7.9;12095.6;8739.5
1/07/2002;7.86;12774.7;9145.5
1/08/2002;7.77;12505.1;8752.6
1/09/2002;7.78;12985.5;8699.4
1/10/2002;7.73;13213.9;8917.1
1/11/2002;7.61;11404.5;8928.2
1/12/2002;7.65;11158.7;9999.6
1/01/2003;7.8;14361;9410.4
1/02/2003;7.83;12721.8;9424.3
1/03/2003;7.91;13644.2;9478.2
1/04/2003;7.91;12531.6;9661
1/05/2003;7.9;13324.2;9498.7
1/06/2003;7.92;13179.9;9768.4
1/07/2003;7.92;13844;10146.3
1/08/2003;7.92;14388.5;10117.7
1/09/2003;7.98;15259.1;10047.9
1/10/2003;8.1;14384.1;10682.1
1/11/2003;8.08;14691.2;10771.2
1/12/2003;8.03;14508.5;11924.4
1/01/2004;8.11;15913.4;11122.6
1/02/2004;8.1;15100.9;11112.7
1/03/2004;8.1;14456.8;11170.9
1/04/2004;8.05;15014.6;11175.5
1/05/2004;7.98;14783;11075.6
