, cpi,cpi_total,cpi_star,i,s,s_1,itcer,I_a,I_p,I_star,emision_n,m1_n,m2_n,credito_n,ingtrib_n,de_us,di_n,fao,lincred_n,prem
.status,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
.name,IPC de Guatemala,IPC de Guatemala,CPI for All Urban Consumers (CPI-U),Tasa de Interés Líder de Polítca Monetaria,Tipo de Cambio Nominal,Tipo de Cambio Nominal Rezagado un Trimestre,Índice de Tipo de Cambio Efectivo Real,Tasa de Interés Activa,Tasa de Interés Pasiva,Tasas de Interés LIBOR a un año plazo,Emisión Monetaria,Medio Circulante,Medios de Pago Totales,Crédito Bancario al Sector Privado,Ingresos Tributarios,Deuda Externa en Dólares,Deuda Interna,Índice de Precios de Alimentos,Líneas de Crédito Provenientes del Extranjero,Prima por Riesgo País
.src_hist,INE,INE,U.S. Bureau Of Labor Statistics,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Departamento de Análisis Macroeconómico y Pronóstico,Banco de Guatemala,Banco de Guatemala,MoneyCafe,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,Ministerio de Finanzas - Banco de Guatemala,Banco de Guatemala,Banco de Guatemala,FAO,Departamento de Análisis Macroeconómico y Pronóstico,Bloomberg
.src_hist_mmdate,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04
.src_anch,,,,,,,,,,,,,,,,,,,,
.src_anch_mmdate,,,,,,,,,,,,,,,,,,,,
.endhist,2022M04,2022M04,2022M04,2022M04,2022M04,2022M01,2022M03,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M04,2022M03,2022M03,2022M03,2022M04,2022M04,2022M04
2019M08,140.18,140.18,256.558,2.75,7.67082129,7.704358667,113.768939,12.79,5,1.974,43731.3,95395.4,263001.6,205268.8,4471.05877,9177.057465,87908.6786,94.08417736,5009.907538,2.739001767
2019M09,139.36,139.36,256.759,2.75,7.705932333,7.688606129,112.4999704,12.78,4.99,2.03213,44107.2,95228,265056.9,207101.8,4264.329199,9139.3048,87470.0248,93.36863477,5050.44954,2.422422032
2019M10,140.33,140.33,257.346,2.75,7.762956452,7.695609032,112.1942914,12.7,4.96,1.95538,46179.2,96199.4,265346.7,208927.7,7130.751772,9125.3342,87210.1912,95.24734977,4820.46082,2.530608527
2019M11,140.95,140.95,257.208,2.75,7.704358667,7.648576897,113.6080343,12.67,4.95,1.95213,46371.5,99233,268963,210793.9,4636.129651,9113.7745,87211.2962,98.62617561,4721.281053,2.3544
2019M12,141.8,141.8,256.974,2.75,7.688606129,7.68644871,114.6315645,12.64,4.91,1.99625,50987.7,106164.1,278673.9,212828.7,4991.782083,9105.8117,87221.65684,101.0067847,4817.699654,2.3127
2020M01,141.46,141.46,257.971,2.75,7.695609032,7.707339667,113.8111265,12.65,4.87,1.80663,48844.6,104125.6,277521.9,213041.9,6587.389086,9105.5092,87165.55815,102.5151015,4748.29057,2.26729
2020M02,140.89,140.89,258.678,2.75,7.648576897,7.698647097,113.7378113,12.68,4.84,1.3815,48241.9,104342,278421.1,214234.7,4261.042982,9040.426,88225.75508,99.41898468,4768.134262,2.431708215
2020M03,141.57,141.57,258.115,2,7.68644871,7.697426333,113.9717423,12.64,4.82,0.9975,50190.3,105553.6,284043,219460.9,3653.747159,9003.7202,90033.32477,95.17723882,5189.79866,4.15474147
2020M04,142.58,142.58,256.389,2,7.707339667,7.695966129,115.2443678,12.62,4.74,0.86463,52021.7,106312.9,286937.6,220966.6,6953.056577,10477.7137,93482.76741,92.52687559,5102.296975,4.418880305
2020M05,142.85,142.85,256.394,2,7.698647097,7.705185806,115.5906794,12.66,4.73,0.6735,53735.3,109904.8,292601,221066.7,3477.862184,10462.3,93650.85017,91.13536059,4841.543955,3.834503218
2020M06,144.86,144.86,257.797,2,7.697426333,7.757204333,116.5976719,12.65,4.68,0.54575,54739.6,113234.9,297303.2,221903.4,3531.956288,10448.6,100852.861,93.25584335,4596.457048,3.381816281
2020M07,145.47,145.47,259.101,1.75,7.695966129,7.781356774,116.5214792,12.46,4.6,0.44863,55844.9,116359.4,303248.2,219777.5,6154.300905,10423.2,105591.8646,94.04145171,4394.10677,3.268662713
2020M08,146.05,146.05,259.918,1.75,7.705185806,7.788877333,116.478792,12.48,4.56,0.44525,55442.2,117877.1,307864.5,219224.2,3934.272598,10389.3835,105849.2873,95.91594445,4391.86216,3.268662713
2020M09,146.28,146.28,260.28,1.75,7.757204333,7.80121871,115.7188663,12.48,4.51,0.36013,57433.9,122245,314320.9,218967.4,4263.236132,10385.105,107911.3953,98.01149789,4241.491378,2.9014
2020M10,147.83,147.83,260.388,1.75,7.781356774,7.79006871,116.5335853,12.33,4.46,0.33013,57603.2,123763.4,318372.9,222178,7592.195332,10455.0528,108426.5,101.376381,4378.369377,2.703734425
2020M11,148.65,148.65,260.229,1.75,7.788877333,7.745361786,117.13838,12.32,4.42,0.33025,58068.8,123479.8,320974.5,224088,4738.378505,10449.3699,108848.9,105.5860013,4338.282753,2.458331659
2020M12,148.64,148.64,260.474,1.75,7.80121871,7.720328387,116.8352245,12.33,4.35,0.34188,64201.1,132969.1,330788.4,225715.1,5146.322285,10449.7691,107743.9,108.5968396,4426.055281,2.257345089
2021M01,148.87,148.87,261.582,1.75,7.79006871,7.716579333,116.6871353,12.34,4.32,0.31113,61390.1,131380.9,331001.6,225839.4,6893.311824,10411.5206,107605.2157,113.5255332,3986.977995,2.224164548
2021M02,149.34,149.34,263.014,1.75,7.745361786,7.714919032,117.0902351,12.32,4.29,0.28375,61037,130681.4,335299.6,227742.9,4730.914639,10365.8696,107261.9387,116.5705107,3718.574175,2.199227719
2021M03,149.84,149.84,264.877,1.75,7.720328387,7.738516,117.0341638,12.32,4.25,0.28313,62819.4,131888.4,337736,229124.8,6243.355766,10327.1921,113394.2261,119.2293297,3721.94076,2.153174738
2021M04,150,150,267.054,1.75,7.716579333,7.745088387,116.2605342,12.28,4.22,0.28113,61517.3,132162.6,340066.7,230800.4,7783.398822,10308.7498,115141.5602,122.0662694,3657.515373,1.951992121
2021M05,150.24,150.24,269.195,1.75,7.714919032,7.738385161,115.545268,12.25,4.19,0.24813,61819,131545.7,342072.6,232867.5,5267.092454,10287.1864,115835.6149,128.1255587,3599.130563,1.972680952
2021M06,150.52,150.52,271.696,1.75,7.738516,7.731863667,114.3452323,12.24,4.15,0.24625,62776.9,133392.6,345364.7,234727.4,5119.468756,10274.3288,119648.6406,125.2776346,3625.491657,1.946884
2021M07,151.02,151.02,273.003,1.75,7.745088387,7.731476129,114.0789679,12.14,4.09,0.23513,63985.1,135825.1,349147.9,238089.3,8910.936208,10249.6639,120486.0234,124.5648584,3870.117733,2.156358622
2021M08,151.33,151.33,273.567,1.75,7.738385161,7.731369333,114.1762346,12.14,4.07,0.22788,63356.6,133258.7,348809.7,239528.4,5316.6,10205.9556,120433.5509,127.9581359,3808.377202,2.311611485
2021M09,151.65,151.65,274.31,1.75,7.731863667,7.725414194,114.204127,12.16,4.04,0.23663,64448.6,134646.7,352079.1,240513,5273.262771,10176.1634,118165.205,129.1891923,3841.57009,2.214591685
2021M10,152.2,152.2,276.589,1.75,7.731476129,7.702852903,113.6794901,12.13,4.03,0.36113,65064.6,136319.5,353691,244291.2,9148.590371,11150.0232,118947.2336,133.2243685,3886.42438,2.334345608
2021M11,152.94,152.94,277.948,1.75,7.731369333,7.698491429,113.6752925,12.02,4.02,0.38238,65610.7,137556.5,355906.8,250295.8,5708.103842,11104.033,118892.7657,135.3148529,4031.355084,2.360787546
2021M12,153.2026271,153.2026271,278.802,1.75,7.725414194,7.694115484,113.6073288,11.92,3.99,0.58313,71955.1,148342.2,369207.1,254438.8,7642.512473,11097.1532,119005.7,133.6911031,4257.872903,2.517670829
2022M01,153.14,153.14,281.148,1.75,7.702852903,7.662973,112.9450518,11.92,3.95,0.96229,69730,146131.3,372873.1,255296,7755.861433,11069.8528,118984.4945,135.5936913,4053.007873,2.461946634
2022M02,153.79,153.79,283.716,1.75,7.698491429,,112.4614618,11.92,3.95,1.288,69952.2,146184.9,373633.5,258068.1,5227.655322,11028.7387,118992.4677,141.0962841,4134.677465,2.61073
2022M03,156.09,156.09,287.504,1.75,7.694115484,,112.7034575,11.95,3.91,2.10143,71178.9,147591.9,377880.8,261788.8,7634.946361,10989.287,122353.6775,159.6922422,4233.485162,2.761722814
2022M04,156.93,156.93,289.109,1.75,7.662973,,,11.93,3.9,2.62857,71829.2,150170.3,381285,264127,,,,158.4569922,4202.211688,2.50149
