,v_cpi_sub,v_cpi_nosub,cpi,cpi_star,i_endo,s_endo,s,s_1,itcer,I_a,I_p,I_star,emision_n,m1_n,m2_n,credito_n,ingtrib_n,de_us,di_n,lincred_n,prem_endo,prem
Comment,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada,Actualizada
1995M01,,,34.0493031,73.711,13.17,5.74,5.74,5.73,63.07302786,20.1,,5.86,3912.6,7379.9,17301.1,9836,434.5,2147.5,4400.4,,,
1995M02,,,33.93488662,73.831,19.54,5.72,5.72,5.74,62.83127445,20.3,,6.1,3981.9,7268.6,17216.4,10090.8,447.3,2142.3,4551,,,
1995M03,,,34.10131059,74.013,9.96,5.69,5.69,5.76,63.17597254,20.4,,6.3,4000.8,7431.3,17708.3,10411.7,495.7,2211.5,4686.5,,,
1995M04,,,34.36134803,74.184,28.12,5.73,5.73,5.77,63.04109523,20.6,,6.06,3955.2,7289.8,17235.9,10610.7,509.6,2220,4697.6,,,
1995M05,,,34.86582068,74.311,15.23,5.74,5.74,5.81,63.78483165,21.3,,6.17,3805,7108.3,17245.3,10836.3,816.5,2210.8,4527,,,
1995M06,,,35.30788434,74.375,19.9,5.76,5.76,5.89,64.25779296,21.1,,6.11,3791.4,7228.1,17696.5,11034.7,455.5,2235.4,4377.7,,,
1995M07,,,35.38589557,74.493,13.01,5.77,5.77,5.96,64.25886432,21.4,,5.97,3873.3,7293.4,18004.1,11149.9,534.6,2203.3,4631.7,,,
1995M08,,,35.59912627,74.671,7.55,5.81,5.81,6,64.01543647,21.4,,5.93,3762.7,7335.2,18232.9,11309.4,537.8,2141.9,4826.9,,,
1995M09,,,35.80195548,74.77,22.74,5.89,5.89,5.93,63.38970075,21.4,,6.2,3752.2,7308.1,18638.6,11500.2,410.3,2154.4,4899.7,,,
1995M10,,,36.30122738,74.952,30.69,5.96,5.96,6.1,63.34054453,21.7,,5.97,3841.6,7341.6,18467.8,11868.1,593.5,2141.6,4610.2,,,
1995M11,,,36.77969628,75,26.39,6,6,6.17,63.75840406,21.9,,6.11,3952,7316.5,18238.5,12176.9,719.7,2129.4,4520.7,,,
1995M12,,,36.96172249,75.105,24.46,5.93,5.93,6.18,64.8043499,22.2,,4.73,4459,8065.4,19591.3,12479.4,533.7,2107.1,4486.5,,,
1996M01,,,37.37258165,75.19,22.59,6.1,6.1,6.14,63.37222363,22.2,10.3,5.71,4139.8,7900.5,19507.2,12671.3,590,2141.4,4254,,,
1996M02,,,37.6118161,75.288,23.23,6.17,6.17,6.09,62.8964069,22.6,10.8,6.05,4171.5,7867.4,19790.8,12783.8,541.8,2137.5,4158.3,,,
1996M03,,,38.01747452,75.462,20.3,6.18,6.18,6.13,63.0809729,22.4,11,5.25,4227,7715.7,20032.9,12957.6,422.4,2122.8,4396.2,,,
1996M04,,,38.46473892,75.565,19.68,6.14,6.14,6.1,64.0691674,22.7,11.1,5.5,4112.6,7671.5,19799.5,13100.6,785.1,2136.1,4701.2,,,
1996M05,,,38.70917412,75.696,23.25,6.09,6.09,6.07,64.85754801,22.9,11.1,5.31,3995.5,7489.6,19845.9,13202.9,763.6,2122.3,4602.3,,,
1996M06,,,38.95881007,75.754,18.18,6.13,6.13,6.05,64.78733873,23,11.9,5,3989,7470.6,19654.6,13242.5,649.2,2115.5,4839.1,,,
1996M07,,,39.48928646,75.897,19.9,6.1,6.1,6.06,65.90777324,22.9,11.4,6.75,4054.6,7737.5,19831.7,13398.4,813.3,2094.5,5222.4,,,
1996M08,,,39.87934263,75.962,14.39,6.07,6.07,6.01,66.66005261,22.8,11.6,5.28,3923.9,7612.9,19860.3,13373.4,625.9,2090.5,5651.4,,,
1996M09,,,40.0145621,76.192,16.77,6.05,6.05,6,66.95403489,22.7,11.6,6.09,3871,7434.5,20044.8,13505.5,583.6,2079.1,5652.1,,,
1996M10,,,40.16538382,76.373,8.04,6.06,6.06,6.06,66.90701007,22.7,11.4,5.63,4007.8,7688.2,20303.3,13576.7,758.4,2078.4,5580.4,,,
1996M11,,,40.61784897,76.473,19.84,6.01,6.01,6.1,68.02040656,22.6,11.2,5.44,4106.6,7883.1,20116.1,13678.5,774.6,2075.8,5584.1,,,
1996M12,,,40.9714999,76.503,7.61,6,6,6,68.75584643,22.4,11,6.26,4819.8,9099,22028.6,14007.2,644.3,2074.9,5093,,,
1997M01,,,41.41356355,76.584,2.09,6.06,6.06,6,68.60716288,21.98,10.25,5.37,4549.4,9051.3,22272.3,14056.8,753.5,2020.2,5398.1,,,
1997M02,,,42.3757021,76.741,2.48,6.1,6.1,5.98,69.55535847,21.21,9.86,5.5,4631.8,9597.7,23256.3,14353.7,621.1,2006.1,5700.8,,,
1997M03,,,42.39130435,76.925,6.19,6,6,5.93,70.48457343,20.81,8.92,7.07,4853.4,9597.3,23190.7,14284.3,672.2,1998.9,5664.6,,,
1997M04,,,42.3653006,77.075,3.24,6,6,5.96,70.35722815,19.97,7.84,5.82,4541.7,9475.5,23259,14398,882.9,1997.7,6186.4,,,
1997M05,,,42.43291034,77.131,8.04,5.98,5.98,6.08,70.76501822,19.35,7.77,5.58,4449.7,9129.4,22997.4,14378.7,941.2,2015,6151.2,,,
1997M06,,,42.45371333,77.245,8.34,5.93,5.93,6.11,71.34486894,18.96,7.75,6.87,4497.8,9291.1,23416.1,14486.6,789.9,2011.5,5924.6,,,
1997M07,,,42.6409403,77.297,1.67,5.96,5.96,6.15,71.19319945,18.59,7.23,5.96,4519.5,9841.3,24628.1,14763.9,880.4,1953.9,5771.3,,,
1997M08,,,43.0882047,77.267,1.81,6.08,6.08,6.22,70.41051817,17.4,6.76,5.52,4436.7,9854.5,24800,15039.8,530.5,2103,5947.4,,,
1997M09,,,43.34824215,77.427,10.61,6.11,6.11,6.19,70.27813336,16.78,6.42,5.81,4394,10015.3,24912.5,15283.8,599.4,2108.6,6061.7,,,
1997M10,,,43.57187435,77.545,2.41,6.15,6.15,6.26,69.97059906,16.52,6.38,5.56,4555.9,10722.6,25544.3,15648.3,713.3,2113.6,5781.2,,,
1997M11,,,43.72789682,77.568,6.02,6.22,6.22,6.22,69.54265555,16.37,6.27,5.5,4789.5,11151.6,26117.4,16230.6,755.4,2108.8,5459.8,,,
1997M12,,,43.88912003,77.613,18.17,6.19,6.19,6.27,70.20350254,16.4,6.35,5.84,5476.1,11948.2,27564.1,16604.1,1300.2,2135.1,5865.2,,,
1998M01,,,44.42999792,77.732,3.48,6.26,6.26,6.29,70.17278412,16.16,6.11,5.48,5232.6,12266.9,28018.9,16788.9,729.5,2121.4,7087.8,,,
1998M02,,,44.68483462,77.798,27.37,6.22,6.22,6.28,70.90991938,16.2,6.31,5.57,5308.6,11741.1,27443.7,17193.7,753.2,2145.6,6638.2,,,
1998M03,,,44.97607656,77.881,4.36,6.27,6.27,6.31,70.60165198,16.37,6.22,5.88,5306.3,12179.7,28426,17364.1,800.6,2144.7,7089.1,,,
1998M04,,,45.30372374,78.024,4.74,6.29,6.29,6.35,70.7731114,16.14,6.05,5.59,5339.4,12441.6,28770.7,17746.2,1099.3,2195.1,7036.5,,,
1998M05,,,45.53775744,78.1,12.86,6.28,6.28,6.4,71.13083524,16.21,6.16,5.63,5262.3,12158.5,28236.3,18215.7,1018,2196.1,6840.5,,,
1998M06,,,45.60536717,78.002,6,6.31,6.31,6.49,70.80472295,16.24,6.16,7.06,5252.3,12379.4,28757,18343.8,766.5,2218.2,6759.9,,,
1998M07,,,45.74578739,78.222,13.74,6.35,6.35,6.57,70.53070721,16.14,6.15,5.63,5383.3,12017,28519.7,18786.1,1117.9,2210.7,6479.5,,,
1998M08,,,45.80819638,78.375,13.01,6.4,6.4,6.57,69.92774951,16.06,6.19,5.89,5313.5,12469.3,29253.3,19207.2,802,2224.1,6212.4,,,
1998M09,,,45.73018515,78.361,28.59,6.49,6.49,6.73,68.80238626,16.53,6.4,6.14,5189.3,11830.7,28398.2,19844.7,736.4,2259.3,6447,,,
1998M10,,,45.7353859,78.514,21.48,6.57,6.57,6.98,67.80618233,16.93,6.79,5.35,5363.3,12015.8,28581,20594.1,1053.8,2304.3,6175.7,,,
1998M11,,,46.94716039,78.528,34.67,6.57,6.57,6.88,69.63609588,17.55,7.32,5.11,5511.7,11944,28638.6,21062.6,1060.4,2309,6340,,,
1998M12,,,47.17079259,78.663,12.79,6.73,6.73,6.98,68.32521354,17.91,7.16,4.07,6307,13565.6,30999.7,21144.4,815.5,2367.9,6259.7,,,
1999M01,,,47.22280008,78.776,16.83,6.98,6.98,7.07,65.78142674,17.81,7.87,4.79,5946.3,12713.6,29693.2,21420.3,1059.5,2350.2,6207.8,,,
1999M02,,,46.99396713,78.749,37.33,6.88,6.88,7.27,66.31162653,18.71,8.48,4.84,6079.7,12707.8,29722.4,21437.6,978.1,2381.1,6162.8,,,
1999M03,,,46.77553568,78.773,18.81,6.98,6.98,7.36,64.90412872,18.9,8.55,4.98,6580.4,13681.5,31052.6,21845.3,925.3,2392.7,5932.3,,,
1999M04,,,46.87955066,78.975,7.16,7.07,7.07,7.39,63.69410799,18.86,8.51,5.03,6342.2,13611.9,31271.5,22218.4,1249.4,2405.4,6282,,,
1999M05,,,47.23320158,79.051,9.51,7.27,7.27,7.66,62.43286481,19.02,8.57,4.61,6310.2,13760.3,31485.2,22386.2,1135.1,2419.6,6671.9,,,
1999M06,,,47.52964427,79.092,18.03,7.36,7.36,7.78,62.07647342,18.93,8.7,5.12,6295.4,13488.1,31443.3,22572.7,785.8,2444.4,6596.2,,,
1999M07,,,48.13293114,79.235,16.42,7.39,7.39,7.81,62.40919353,19.31,8.97,5.07,6457.6,13672,32129.1,22701.6,1205.7,2499.8,7579.3,,,
1999M08,,,48.56979405,79.273,19.51,7.66,7.66,7.77,60.52236298,19.49,9.23,5.57,6365.9,13055.2,31402.2,23153.6,1087,2548.6,7215.9,,,
1999M09,,,48.83503224,79.483,40.68,7.78,7.78,7.67,59.69150539,20.33,10.37,5.51,6321.6,13078,31328.2,23198.4,832,2568.8,7524.6,,,
1999M10,,,49.19908467,79.619,30.17,7.81,7.81,7.88,59.8541285,20.5,10.75,5.27,6571.1,13160,31038.9,23326.6,1053.7,2589.2,7508.5,,,
1999M11,,,49.36030788,79.695,37.68,7.77,7.77,7.79,60.32573314,20.52,10.62,5.63,6857.7,13688.1,31363.7,23746.6,1326.5,2601.2,7658.7,,,
1999M12,,,49.49032661,79.796,28.36,7.67,7.67,7.72,61.2079887,20.62,11.28,3.99,8428.6,15497.2,33456.2,24099.9,974,2631.3,7807.1,,,
2000M01,,,49.71395881,79.987,26.53,7.88,7.88,7.71,59.67646062,21.23,11.51,5.87,7614,14925.2,33006.3,24327.7,1262.4,2599.2,7884.6,,,
2000M02,,,50.10401498,80.106,22.66,7.79,7.79,7.7,60.49464897,21.39,11.65,5.85,7385.7,14525.5,32632.2,24465.8,856,2584.8,7917.8,,,
2000M03,,,50.64489286,80.27,17.32,7.72,7.72,7.73,61.18335155,21.28,11.58,6.17,7364.9,15623,33479.3,24187.9,968.9,2600.6,7890.9,,,
2000M04,,,51.12856251,80.323,14.32,7.71,7.71,7.75,61.80938772,21.44,11.66,6.06,7352.6,15760.5,34539.6,24129.1,911.8,2571.8,7696,,,
2000M05,,,50.7125026,80.409,12.75,7.7,7.7,7.75,61.32904264,21.46,11.61,6.83,7003.3,15636.9,34678.3,24028,1715.3,2582.3,7446.9,,,
2000M06,,,50.9673393,80.47,12.17,7.73,7.73,7.8,61.07918166,20.92,11.45,6.86,7052,16207.1,35678.6,24038,927.7,2594.7,7578.9,,,
2000M07,,,51.08695652,80.654,10.13,7.75,7.75,7.82,60.92943714,21.21,11.36,6.64,7205.7,16720.7,36711.7,24241.1,1516.2,2572.1,7902.9,,,
2000M08,,,50.85812357,80.757,9.63,7.75,7.75,7.77,60.6752746,20.43,11.15,6.65,6957.9,16929.2,37705.5,24913.2,995.9,2587,8140.8,,,
2000M09,,,50.93093405,80.953,8.95,7.8,7.8,7.73,60.04172969,20.53,11.09,6.6,6975,16899.1,37599.1,25151.9,915.6,2594.2,8185.6,,,
2000M10,,,51.08695652,81.067,10.3,7.82,7.82,7.8,59.98170784,20.47,11.23,6.59,7169.1,16668.5,37018.4,25687.8,1685.3,2571.1,8483.1,,,
2000M11,,,51.4250052,81.21,15.79,7.77,7.77,7.74,60.72075794,20.23,11.04,6.62,7324.2,17151.6,37325.4,26076.5,1202.3,2571.3,8514.8,,,
2000M12,,,52.00748908,81.289,7.81,7.73,7.73,7.7,61.76188599,20.05,10.98,5.41,8214.2,18651.8,39497.4,26439.9,1156.4,2643.7,8629.6,,,
2001M01,,,52.71999168,81.592,5.72,7.8,7.8,7.75,61.64045966,19.92,10.82,5.74,7598.5,18260.3,39442.2,26568.1,1333,2636,10003.8,,,
2001M02,,,53.1048471,81.736,6.24,7.74,7.74,7.77,62.36580096,19.88,10.82,5.59,7618.6,17748.7,38969.4,26591.3,960.1,2637.2,10742.9,,,
2001M03,,,53.39088829,81.821,5.4,7.7,7.7,7.8,62.86092774,19.58,10.58,5.29,7800.3,18579.4,39611.4,26914.1,985.3,2621.6,10594,,,
2001M04,,,53.61972124,81.951,4.42,7.75,7.75,7.8,62.48984477,19.42,10.44,4.67,7803.8,17813,39556.1,26924.8,1645.9,2616.9,10767.7,,,
2001M05,,,53.78094446,81.97,5.05,7.77,7.77,7.85,62.22169007,19.23,10.12,4.24,7730.2,17826.8,40972.7,27193.7,1465.2,2619.7,10612,,,
2001M06,,,54.17620137,82.154,4.98,7.8,7.8,7.95,62.34014926,19.03,9.81,3.95,7787.6,17627,42338.5,27476.2,939.4,2618.9,10442.7,,,
2001M07,,,54.64946952,82.366,4.83,7.8,7.8,8.11,63.05718257,19.21,9.44,3.82,7987.8,18358.3,42831,27487.4,1707.5,2628.5,10956.5,,,
2001M08,,,55.33076763,82.406,4.83,7.85,7.85,8.08,63.43013027,18.88,9.06,3.66,7862.7,17607.8,43209.1,27633.2,1168.1,2634.3,10798.3,,,
2001M09,,,55.50759309,81.939,4.63,7.95,7.95,7.96,62.52174617,18.65,8.97,2.75,7893.8,18652.3,44080.8,28085.1,1231.8,2655.9,10749.2,,,
2001M10,,,55.92365301,82.516,4.47,8.11,8.11,8.02,62.01183388,18.34,8.84,2.66,8248.3,18508.5,44249.7,28981.5,2098.1,2588.6,10729.6,,,
2001M11,,,56.31370917,82.683,4.93,8.08,8.08,7.94,62.72748445,18.11,8.58,2.06,8500.1,18939.1,45054.6,29373.7,1324.5,2907.9,10520,,,
2001M12,10.43117332,-1.521173314,56.64135636,82.702,4.52,7.96,7.96,7.91,64.329756,17.9,8.46,1.52,9475.9,20112.6,47228.2,30281.9,1068.9,2925,9281.5,,,
2002M01,10.90398693,-2.055215105,57.38506345,82.75,4.53,8.02,8.02,7.82,64.56132062,17.71,8.4,1.85,8783.1,19571.4,47049.6,30120.3,1834,2924.6,8580.9,,,
2002M02,10.99386597,-1.983974686,57.88953609,82.907,4.23,7.94,7.94,7.87,65.50519557,17.5,8.19,1.83,8813.8,19924.9,47399.9,30450.5,1080.9,2920.3,7923,,,
2002M03,10.96583939,-1.83862335,58.26399001,83.006,5.25,7.91,7.91,7.9,65.78904186,17.22,8.01,1.74,9340.7,20545.7,48213,30540.3,1087.3,2924.7,8102.6,,,
2002M04,11.03970623,-1.786553947,58.5812357,83.238,4.56,7.82,7.82,7.86,66.50956781,17.21,7.86,1.82,8928.6,20092.7,48095.8,30541.1,2072.4,2928.7,8129.6,,,
2002M05,11.00223637,-1.689790781,58.78926565,83.331,4.31,7.87,7.87,7.77,66.38545225,17.11,7.75,1.79,8715.3,19846.1,47637.1,30671.4,1793.4,2928.2,8296.9,,,
2002M06,10.76962948,-1.630721925,59.12731433,83.463,4.39,7.9,7.9,7.78,66.45154239,16.88,7.63,1.73,8739.5,20248.1,48227.8,31357.9,1191.9,2939.7,8300.3,,,
2002M07,10.57587719,-1.478046957,59.62138548,83.632,4.11,7.86,7.86,7.73,67.31142998,16.75,7.48,1.76,9145.5,20426.2,49036.9,31375.3,2150.6,2949.1,8159.4,,,
2002M08,9.591115952,-1.864825891,59.60578323,83.797,4.91,7.77,7.77,7.61,67.79352692,16.55,7.31,1.81,8752.6,19977.5,48812.4,31501.9,1339.8,2944.5,8150.2,,,
2002M09,9.180550575,-2.078517393,59.44976077,83.934,4.45,7.78,7.78,7.65,67.41751372,16.49,7.2,1.85,8699.4,19819.5,48757.2,31450.3,1279.7,3067.9,8240.4,,,
2002M10,8.717303276,-2.114494766,59.61618473,84.005,4.47,7.73,7.73,7.8,67.96739485,16.41,7.13,1.82,8917.1,19916.6,49028.5,31653.1,2441.3,3047.7,8083.4,,,
2002M11,8.331234932,-1.986572944,59.88662367,84.087,5.4,7.61,7.61,7.83,69.3064825,16.34,7.08,1.23,8928.2,20379.5,49299.2,31945.4,1538.8,3047.7,8120,,,
2002M12,8.045804977,-1.719480503,60.22467235,84.165,2.22,7.65,7.65,7.91,69.49713694,16.2,6.91,1.16,9999.6,21624.5,51474,32531.2,1484.6,3119.1,8168.5,,,
2003M01,7.302458763,-1.103437561,60.9423757,84.223,1.03,7.8,7.8,7.91,68.69690252,16.01,6.31,1.33,9410.4,22211.5,52007.5,32436.2,2128.1,3147.8,8527.3,686.4755035,,
2003M02,6.944536209,-0.943278461,61.36363636,84.339,4.13,7.83,7.83,7.9,68.39260262,15.84,6.12,1.33,9424.3,21887.5,51738.6,32379.6,1111.5,3137.5,8505.6,679.8298264,,
2003M03,6.685342789,-0.910104002,61.62887456,84.474,1.41,7.91,7.91,7.92,67.59683836,15.61,5.84,1.38,9478.2,21939,52029.5,32806.8,1291.4,3135.2,8627.7,681.1940881,,
2003M04,6.574206352,-0.901266015,61.90451425,84.568,0.87,7.91,7.91,7.92,68.02944664,15.49,5.58,1.31,9661,22044.6,52423.2,33038,2089,3138.8,9301.6,661.9367378,,
2003M05,6.586476326,-1.022074332,62.06053672,84.69,0.82,7.9,7.9,7.92,68.35260134,15.12,5.32,1.28,9498.7,21757.1,53009.8,33504.2,1741.1,3150.9,9236.7,662.0362976,,
2003M06,6.560795784,-1.31847016,62.22696068,84.738,1.1,7.92,7.92,7.98,68.31691065,15.1,5.22,1.45,9768.4,22259,53924.6,33498.6,1311.4,3140.7,10875.1,626.3858351,,
2003M07,6.456410408,-1.807073349,62.39338465,84.949,1.48,7.92,7.92,8.1,68.43642767,14.72,4.99,1.04,10146.3,23014.2,54722.3,33504.7,2298.3,3145.2,10962.1,627.8643403,,
2003M08,6.342512131,-1.377849359,62.56500936,85.045,1.4,7.92,7.92,8.08,68.3395496,14.64,4.86,1.01,10117.7,23237.4,54979.5,33841.3,1425,3456.8,10915.9,693.1359199,,
2003M09,6.294852257,-0.617308737,62.82504681,85.164,1.45,7.98,7.98,8.03,67.85991336,14.47,4.75,1.17,10047.9,23230.3,55276.2,34228.9,1369.4,3460.8,11344.8,687.9899003,,
2003M10,6.165193558,-0.329025015,63.09548575,85.32,1.71,8.1,8.1,8.11,67.28645238,14.39,4.65,1.03,10682.1,24185.3,56261.6,34753.5,2465.2,3445.1,11254.5,705.2834387,,
2003M11,6.008392811,-0.172526543,63.38152694,85.437,1.96,8.08,8.08,8.1,67.92318919,14.24,4.6,1.01,10771.2,24091.5,56674.7,35128.3,1507.3,3443.1,11211.6,708.5465207,,
2003M12,5.934461594,-0.079539313,63.75078011,85.544,1.83,8.03,8.03,8.1,68.81895325,14.11,4.52,0.94,11924.4,26051.1,58281.6,35444.2,1543,3467.2,11036.7,728.0018777,,
2004M01,5.958512783,0.254151503,64.72852091,85.763,1.83,8.11,8.11,8.05,68.81474021,14,4.48,1.03,11122.6,25520.8,58466,34459.4,2093.9,3455.9,11192.3,705.3268921,,
2004M02,5.840003014,0.423239646,65.20698981,85.902,1.94,8.1,8.1,7.98,69.03168511,13.93,4.43,1.04,11112.7,25008.6,58242.1,34579.7,1254,3438.4,11359.8,668.9841678,,
2004M03,5.858466625,0.706934218,65.67505721,86.046,1.86,8.1,8.1,7.94,69.1236622,13.89,4.39,1.05,11170.9,24777.3,58621.2,34778.9,1407.4,3524.8,11679,642.6984033,,
2004M04,5.748042107,0.905742661,66.02350739,86.27,1.92,8.05,8.05,7.9,69.71251009,13.97,4.41,1.03,11175.5,24761.1,57864.9,35105.2,1830.9,3491.3,11412.2,654.0039277,,
2004M05,5.88678503,1.378781042,66.56958602,86.388,2.1,7.98,7.98,7.91,70.42809621,13.93,4.46,1.02,11075.6,24354.2,58243.9,35509.3,1852.1,3493.2,11511.6,646.3554721,,
2004M06,5.953223228,1.451707817,66.83482421,86.525,2.26,7.94,7.94,7.9,70.89555677,13.89,4.44,1.38,11062,24388.5,59290.3,35644.9,1437.2,3487.1,11289.1,647.3865197,,
2004M07,5.946611404,1.68863074,67.15727065,86.628,2.72,7.9,7.9,7.83,71.73596658,13.79,4.42,1.29,11322,24533.4,59973.1,36107,1721.8,3478.7,12066.2,649.4485531,,
2004M08,6.205470085,1.450390274,67.35489911,86.661,2.41,7.91,7.91,7.77,71.77142298,13.83,4.47,1.55,11077.1,25019.6,60409.5,36127.6,1434.8,3500.3,13118.8,684.089768,,
2004M09,6.444470882,1.601886736,67.88017475,86.823,2.08,7.9,7.9,7.78,72.28092944,13.76,4.47,1.94,11045.1,24516.5,60772.2,37033.7,2167.3,3484.4,13115.6,676.8091145,,
2004M10,6.744393349,1.893918561,68.54587061,87.012,2.07,7.83,7.83,7.76,73.24814994,13.75,4.52,1.79,11313.80323,25241.9,61063.2,37552,2452.4,3808.6,12990.9,792.2645523,,
2004M11,7.177699566,2.04524291,69.22716871,87.199,2.43,7.77,7.77,7.72,74.520028,13.56,4.54,2.02,11403.9,25823.5,61924,38566.8,1814.5,3814.2,12946.8,786.803264,,
2004M12,7.339061737,1.88756578,69.63282713,87.311,2.68,7.78,7.78,7.62,75.17013876,13.5,4.54,1.97,12626.4,27859.7,64667.5,39772.3,2507.7,3843.9,12840.8,823.1860322,,
2005M01,7.61128521,1.427763478,70.57936343,87.625,2.55,7.76,7.76,7.61,76.15317373,13.52,4.56,2.5,11999,27364.1,64542.7,40013.6,1625.6,3824.6,12785.4,822.0755071,,
2005M02,7.744018555,1.292510393,71.09943832,87.77,2.61,7.72,7.72,7.59,76.73009066,13.52,4.58,2.52,12049.7,27092.5,64686.7,40428.4,1418.2,3815.2,13345,850.9321514,,
2005M03,7.773087025,0.99314674,71.43228625,87.987,2.75,7.62,7.62,7.61,77.51019037,13.49,4.53,2.96,12425,28107,65920.1,40746.5,1650.8,3788.6,14482.3,841.1707973,,
2005M04,7.769417763,1.108093054,71.8847514,88.089,2.75,7.61,7.61,7.59,77.56915691,13.07,4.57,2.97,12151.2,28111.3,66720.9,41165.4,2451,3778.2,15538.9,866.7841062,,
2005M05,7.790237427,0.733200075,72.24360308,88.269,2.829545455,7.59,7.59,7.59,78.17775067,13.04,4.59,3.09,12150.1,28127.7,66869.4,41551.9,2148.8,3776.4,15927.8,826.1054478,,
2005M06,7.722729206,1.07814233,72.71687123,88.33,3,7.61,7.61,7.62,78.43327554,13.02,4.62,3.35,12278.4,28516.4,67426.2,42504.8,1749.7,3765.9,16038.4,884.7378604,,
2005M07,7.816076756,1.484627962,73.40337009,88.46,3.05952381,7.59,7.59,7.68,79.06695358,12.9,4.58,3.31,12618.3,29324.1,68785.5,43243.3,2519.3,3759.2,15964.1,877.9382522,,
2005M08,7.551532269,1.822261254,73.66860828,88.532,3.336956522,7.59,7.59,7.61,78.96632749,12.88,4.58,3.63,12347.3,28864.7,69136,43671,1694.1,3758.4,16821.2,820.1244828,,
2005M09,7.48908329,1.957744777,74.29269815,88.728,3.613636364,7.62,7.62,7.61,78.30633562,12.78,4.6,3.93,12495.9,28869.2,69875.3,44306.5,1597.1,3750.9,16778.7,864.3843647,,
2005M10,7.633133888,2.655181728,75.59808612,88.982,3.75,7.68,7.68,7.62,78.94106504,12.72,4.58,4.02,12751.1,29975.9,70649.7,45294.2,2483.7,3733.5,16737.4,866.35616,,
2005M11,7.538884163,1.709106228,75.62929062,89.21,3.840909091,7.61,7.61,7.61,80.31388337,12.78,4.64,4.03,13001.8,30682.2,72180.5,46948.7,1937.4,3718.2,16683.3,989.6654821,,
2005M12,7.555393219,1.011340656,75.59808612,89.302,4.113636364,7.61,7.61,7.62,80.60262807,12.67,4.62,4.09,14261.9,32816.2,74182.5,48277.3,2034.4,3723.2,16425.7,1031.008487,,
2006M01,7.331668854,0.751744304,76.28458498,89.503,4.25,7.62,7.62,7.59,80.61659193,12.72,4.62,4.47,13639.14697,32449.5,74585.5,48918.2,2455.9,4033.6,16251.1,1011.979427,,
2006M02,7.05645752,0.207093054,76.26378198,89.647,4.25,7.61,7.61,7.58,80.57783175,12.74,4.65,4.52,13784.70915,32728.3,75455.8,50002.8,1608.1,4024.9,16323.5,1047.084444,2.544714286,2.544714286
2006M03,7.061919212,0.218750613,76.63303516,89.894,4.25,7.62,7.62,7.61,80.42147417,12.76,4.65,5,14001.12585,32986.7,76291.5,51007,2406,4065.7,16961.4,1069.619778,2.264304348,2.264304348
2006M04,7.158880711,0.321946954,77.26232577,90.169,4.275,7.59,7.59,7.58,80.66185847,12.74,4.69,4.86,14125.67255,33089.4,76523.6,51899.1,2562.5,4063.6,17212.7,1103.680245,2.032789474,2.032789474
2006M05,6.938698769,0.677743525,77.74599542,90.395,4.5,7.58,7.58,7.58,80.8641871,12.72,4.7,5.05,14050.41808,33311.6,78040.9,52912.8,1956,4076.8,17833.7,1079.297589,2.107590909,2.107590909
2006M06,6.828488827,0.724078764,78.20886208,90.623,4.579545455,7.61,7.61,7.61,80.89916387,12.72,4.7,5.05,14312.35275,33909.4,79897.8,54063.6,1774.1,4063.2,17520.4,948.2021337,2.203954545,2.203954545
2006M07,6.798718452,0.236849062,78.56771375,90.712,4.785714286,7.58,7.58,7.61,81.33245414,12.69,4.69,5.31,14439.59094,34384,81160,54971.3,2972,4063.4,17844.7,975.2665264,2.22795,2.22795
2006M08,6.836379051,0.159738142,78.82255045,90.896,5,7.58,7.58,7.61,81.4410032,12.69,4.7,5.31,14309.26059,34216.2,81943.4,56037.4,2036.9,3931.5,19315.4,942.1580258,2.305173913,2.305173913
2006M09,6.65826273,-0.959977817,78.52610776,91.04,5,7.61,7.61,7.6,81.26907618,12.7,4.72,5.34,14247.93767,34616.9,82382.8,57277.2,1996.8,3903.8,19125.5,953.6331777,2.4024,2.4024
2006M10,6.256454468,-2.403950338,78.51050551,91.204,5,7.61,7.61,7.68,81.61900571,12.91,4.81,5.31,15302.36743,34657.3,82985.9,58630.9,3038.2,3899.1,19530.8,1214.063107,2.374761905,2.374761905
2006M11,5.961483955,-1.560438708,78.95776992,91.248,5,7.61,7.61,7.7,82.25588551,12.88,4.84,5.31,15382.58389,36113.1,84236.4,60158.2,2244.5,3908.7,20188.9,1253.637682,2.3604,2.3604
2006M12,5.94863987,-0.156124735,79.9771167,91.37,5,7.6,7.6,7.69,83.23540796,12.88,4.84,5.17,15771.98188,38868.9,87922.3,61490.7,2187.1,3958.3,20188.6,1312.47189,2.20355,2.20355
2007M01,5.741148472,0.483285667,81.03286873,91.741,5,7.68,7.68,7.66,83.25604627,12.96,4.85,5.33,16410.38063,39067.2,86136.1,62153.4,2829.5,3952.5,20054.9,1331.983892,1.919380952,1.919380952
2007M02,5.815873146,0.805785338,81.31370917,91.939,5,7.7,7.7,7.64,82.92443051,12.98,4.92,5.41,17842.73866,39721.8,86936.2,63369.9,1941.8,3954.5,20188.2,1376.820038,1.955684211,1.955684211
