date;CPI;target
1/03/1969;1.88;
1/04/1969;1.88;
1/05/1969;1.89;
1/06/1969;1.88;
1/07/1969;1.88;
1/08/1969;1.88;
1/09/1969;1.89;
1/10/1969;1.89;
1/11/1969;1.9;
1/12/1969;1.9;
1/01/1970;1.91;
1/02/1970;1.93;
1/03/1970;1.95;
1/04/1970;1.96;
1/05/1970;1.96;
1/06/1970;2.01;
1/07/1970;2.06;
1/08/1970;2.03;
1/09/1970;1.98;
1/10/1970;1.97;
1/11/1970;1.97;
1/12/1970;1.97;
1/01/1971;1.95;
1/02/1971;1.94;
1/03/1971;1.93;
1/04/1971;1.95;
1/05/1971;1.95;
1/06/1971;1.96;
1/07/1971;1.94;
1/08/1971;1.92;
1/09/1971;1.9;
1/10/1971;1.9;
1/11/1971;1.89;
1/12/1971;1.88;
1/01/1972;1.87;
1/02/1972;1.82;
1/03/1972;1.83;
1/04/1972;1.83;
1/05/1972;1.83;
1/06/1972;1.82;
1/07/1972;1.82;
1/08/1972;1.86;
1/09/1972;1.86;
1/10/1972;1.86;
1/11/1972;1.9;
1/12/1972;1.93;
1/01/1973;1.96;
1/02/1973;1.99;
1/03/1973;2.01;
1/04/1973;2.04;
1/05/1973;2.06;
1/06/1973;2.09;
1/07/1973;2.07;
1/08/1973;2.06;
1/09/1973;2.07;
1/10/1973;2.12;
1/11/1973;2.21;
1/12/1973;2.22;
1/01/1974;2.26;
1/02/1974;2.3;
1/03/1974;2.37;
1/04/1974;2.45;
1/05/1974;2.48;
1/06/1974;2.49;
1/07/1974;2.54;
1/08/1974;2.48;
1/09/1974;2.51;
1/10/1974;2.57;
1/11/1974;2.65;
1/12/1974;2.69;
1/01/1975;2.72;
1/02/1975;2.76;
1/03/1975;2.78;
1/04/1975;2.84;
1/05/1975;2.82;
1/06/1975;2.81;
1/07/1975;2.89;
1/08/1975;2.88;
1/09/1975;2.82;
1/10/1975;2.76;
1/11/1975;2.79;
1/12/1975;2.79;
1/01/1976;2.94;
1/02/1976;2.95;
1/03/1976;2.92;
1/04/1976;2.93;
1/05/1976;3;
1/06/1976;3.03;
1/07/1976;3.08;
1/08/1976;3.13;
1/09/1976;3.29;
1/10/1976;3.33;
1/11/1976;3.33;
1/12/1976;3.33;
1/01/1977;3.35;
1/02/1977;3.38;
1/03/1977;3.4;
1/04/1977;3.46;
1/05/1977;3.55;
1/06/1977;3.5;
1/07/1977;3.52;
1/08/1977;3.51;
1/09/1977;3.56;
1/10/1977;3.58;
1/11/1977;3.58;
1/12/1977;3.58;
1/01/1978;3.65;
1/02/1978;3.65;
1/03/1978;3.65;
1/04/1978;3.64;
1/05/1978;3.74;
1/06/1978;3.8;
1/07/1978;3.81;
1/08/1978;3.8;
1/09/1978;3.88;
1/10/1978;3.86;
1/11/1978;3.89;
1/12/1978;3.91;
1/01/1979;4.04;
1/02/1979;4.06;
1/03/1979;4.06;
1/04/1979;4.07;
1/05/1979;4.16;
1/06/1979;4.14;
1/07/1979;4.18;
1/08/1979;4.2;
1/09/1979;4.35;
1/10/1979;4.38;
1/11/1979;4.4;
1/12/1979;4.45;
1/01/1980;4.5;
1/02/1980;4.51;
1/03/1980;4.5;
1/04/1980;4.5;
1/05/1980;4.62;
1/06/1980;4.68;
1/07/1980;4.69;
1/08/1980;4.7;
1/09/1980;4.77;
1/10/1980;4.77;
1/11/1980;4.83;
