date;CPI;target;v_cpi;vol_cpi1;pce;core_pce;cpiUS;pet;fao_Index;inf_seasAdj;IT_reg;inf_seasAdj_l1;inf_seasAdj_l3;inf_seasAdj_l6;inf_seasAdj_l12;inf_seasAdj_l24
1995-08-01;35.6;9.0;8.272506082725052;0.7940288522349472;1.9734415344891065;2.168677995785795;2.6174496644295386;-1.9042437431991188;17.824773413897276;-0.24151230379830185;0.0;0.5212569882571492;-0.6813717898802624;-1.9174010599923061;-1.171915753941787;1.3718676172550333
1995-09-01;35.8;9.0;8.124433705829048;0.7964632997687426;1.928718203075186;2.148995177397972;2.54521098459477;4.410080183276066;12.987012987012992;-0.6138171731912863;0.0;-0.24151230379830185;0.6167551853135435;-1.6739411477880228;0.6723067272478112;0.0001345726852691187
1995-10-01;36.3;9.0;8.682634730538918;0.8508761082054626;2.0216739290362717;2.1575869917812573;2.7443105756358666;-1.5245623941276043;15.021459227467805;-0.4456374612151075;0.0;-0.6138171731912863;0.5212569882571492;-1.7977245462486828;1.494974249061916;-0.057455459400064676
1995-11-01;36.78;9.0;8.591674047829944;0.9680752537739085;1.8243691664666217;2.0366515652422423;2.603471295060067;-0.607734806629856;9.016393442622949;-0.817734179773359;0.0;-0.4456374612151075;-0.24151230379830185;-0.6813717898802624;2.1544574391062716;-0.8948387108408178
1995-12-01;36.96;9.0;8.610049955921252;1.0548685829393378;1.9530092429266954;2.144761179414645;2.5316455696202667;10.955710955710952;6.703146374829005;-1.0024350113511016;0.0;-0.817734179773359;-0.6138171731912863;0.6167551853135435;1.679855989828848;-2.0045444985927094
1996-01-01;37.37;9.0;9.750367107195302;1.1332612499356793;1.9744254168544417;2.0064847851745338;2.7906976744185963;4.94719288493608;5.6241426611796985;-0.22382926063362324;0.0;-1.0024350113511016;-0.4456374612151075;0.5212569882571492;-0.6764320039931258;0.010652885780560506
1996-02-01;37.61;9.0;10.84585912172118;1.1486550105810938;1.9540585374082653;1.9734257967520374;2.717031146454607;2.9141932002158644;4.166666666666652;0.6161265080941948;0.0;-0.22382926063362324;-0.817734179773359;-0.24151230379830185;-1.9174010599923061;1.2260376172505376
1996-03-01;38.02;9.0;11.495601173020532;1.156641886905872;2.0739493439977386;1.95776417656357;2.8439153439153486;15.148247978436657;4.6604527296937315;1.0165788613168418;0.0;0.6161265080941948;-1.0024350113511016;-0.6138171731912863;-1.6739411477880228;1.3327814753265068
1996-04-01;38.46;9.0;11.932479627473814;1.1699919062137933;2.1104782164499625;1.861587404292031;2.832674571805005;18.6210367388022;9.189189189189184;1.2526008714193746;0.0;1.0165788613168418;-0.22382926063362324;-0.4456374612151075;-1.7977245462486828;1.2427184214065838
1996-05-01;38.71;9.0;11.012331517063378;1.1967870497394149;2.1295921076533997;1.86378867193282;2.827087442472065;7.649442755825753;11.351351351351369;0.23008569842515011;0.0;1.2526008714193746;0.6161265080941948;-0.817734179773359;-0.6813717898802624;1.6043155813659848
1996-06-01;38.96;9.0;10.337015009912198;1.2306194547560096;2.028394734270522;1.8541176470588283;2.8215223097112663;11.020629750271427;7.190412782956068;-0.6275712729666446;0.0;0.23008569842515011;1.0165788613168418;-1.0024350113511016;0.6167551853135435;-0.7680209116725348
1996-07-01;39.49;9.0;11.585193557502116;1.2622670802242772;2.1178996681632034;1.8847408481333927;2.8833551769331667;23.236994219653173;0.8805031446540879;0.5385699734149858;0.0;-0.6275712729666446;1.2526008714193746;-0.22382926063362324;0.5212569882571492;-2.5955516597992263
1996-08-01;39.88;9.0;12.022471910112365;1.2796152357309976;1.993683654020062;1.72891751817974;2.8122956180510084;21.797004991680534;2.4358974358974494;0.8524308876395605;0.0;0.5385699734149858;0.23008569842515011;0.6161265080941948;-0.24151230379830185;-1.171915753941787
1996-09-01;40.01;9.0;11.75977653631286;1.239480279647929;2.211995662208377;1.9018322856760639;3.0045721750489918;31.59626988480526;-1.7879948914431565;0.563135868241952;0.0;0.8524308876395605;-0.6275712729666446;1.0165788613168418;-0.6138171731912863;0.6723067272478112
