;core_pce;pce;cpiUS;gpenergy;pet_wti;food_imf;fao_Index;IGREA;USPHCI;GEPUI
1964-06-01;1.4978121844496872;1.4478253192866664;1.3067624959163693;;0.0;;;;;
1964-07-01;1.5076785113776525;1.3744493392070511;1.0752688172043001;;-1.683501683501687;;;;;
1964-08-01;1.5511255459738083;1.3198029094322106;0.9756097560975618;;-1.683501683501687;;;;;
1964-09-01;1.4141978759083296;1.4961276695611314;1.171875;;-1.683501683501687;;;;;
1964-10-01;1.2214166201896415;1.3584728890970732;1.2032520325203189;;-1.683501683501687;;;;;
1964-11-01;1.2759792723017638;1.356566483452215;1.3970110461338558;;-1.683501683501687;;;;;
1964-12-01;1.2742043178277207;1.3545863256846147;1.1981865284974136;;-1.683501683501687;;;;;
1965-01-01;1.272434294604663;1.252694750335026;1.098901098901095;;-1.683501683501687;;;;;
1965-02-01;1.2034828905773454;1.1461484756807305;1.1970236169524417;;-1.683501683501687;;;;;
1965-03-01;1.1635638297872397;1.2210722176997368;1.1958629605688387;;-1.683501683501687;;;;;
1965-04-01;1.1901466924993054;1.3014932310731586;1.3893376413570246;;-1.683501683501687;;;;;
1965-05-01;1.294247787610625;1.5162958229245183;1.6139444803098701;;-1.683501683501687;;;;;
1965-06-01;1.1938318686784966;1.6708243893948982;1.9348597226700903;;-1.683501683501687;;;;;
1965-07-01;1.1926453536524884;1.616547888058406;1.8052869116698789;;0.0;;;;;
1965-08-01;1.2517231872070322;1.5573438314131938;1.6103059581320522;;0.0;;;;;
1965-09-01;1.3283359973543574;1.4509509220186123;1.737451737451745;;0.0;;;;;
1965-10-01;1.2562675629511189;1.4211438474870164;1.7030848329048665;;0.0;;;;;
1965-11-01;1.292913732394374;1.4480212299527118;1.7302146747837144;;0.0;;;;;
1965-12-01;1.4614581616394506;1.6706031453424641;1.9200000000000106;;0.0;;;;;
1966-01-01;1.3552068473609014;1.68028541834504;1.9181585677749302;;0.0;;;;;
1966-02-01;1.4796142042963645;2.0592464768478314;2.5575447570332477;;0.0;;;;;
1966-03-01;1.5554825282068308;2.171415441176472;2.7786649632705274;;0.0;;;;;
1966-04-01;1.794310722100656;2.3687983940349877;2.8680688336520044;;0.0;;;;;
1966-05-01;1.872884132357755;2.266224104383663;2.763659466327839;;0.0;;;;;
1966-06-01;2.2338740510131627;2.2253922967189865;2.4359379943056148;;0.0;;;;;
1966-07-01;2.4335679598406657;2.343482723229573;2.754908169727699;;0.0;;;;;
1966-08-01;2.4234832806883766;2.713487629688749;3.4865293185419866;;0.0;;;;;
1966-09-01;2.616405570060909;2.991452991452981;3.5736875395319334;;1.7123287671233056;;;;;
1966-10-01;2.9928715241878567;3.229665071770338;3.791469194312813;;1.7123287671233056;;;;;
1966-11-01;3.063386019227643;3.212965595678119;3.5590551181102548;;1.7123287671233056;;;;;
1966-12-01;3.059511561163153;3.0483313502181364;3.3594976452119285;;1.7123287671233056;;;;;
1967-01-01;3.1234775077139787;2.931522354272764;3.19949811794229;;1.7123287671233056;;;;;
1967-02-01;3.05648558159628;2.6263878712731836;2.8678304239401653;;2.7397260273972712;;;;;
1967-03-01;3.0794952000862796;2.4401214438322105;2.5481665630826544;;2.7397260273972712;;;;;
1967-04-01;2.9933361994840757;2.246750336172121;2.5402726146220633;;2.7397260273972712;;;;;
1967-05-01;2.9533151096103216;2.322327923894796;2.3183925811437467;;2.7397260273972712;;;;;
1967-06-01;2.8795811518324665;2.3890594473904514;2.8412600370598895;;2.7397260273972712;;;;;
1967-07-01;2.924412720396319;2.5405315059334743;2.9275808936825687;;2.7397260273972712;;;;;
1967-08-01;3.057372255011437;2.469752469752473;2.6033690658499253;;5.13698630136985;;;;;
1967-09-01;3.100980652001062;2.4564315352697097;2.595419847328251;;3.3670033670033517;;;;;
1967-10-01;3.1489406667723374;2.4664790597583197;2.5875190258751957;;3.3670033670033517;;;;;
1967-11-01;3.214756258234508;2.6556473829201233;3.10218978102188;;3.3670033670033517;;;;;
1967-12-01;3.1578394283312328;2.606257216693253;3.280680437424044;;3.3670033670033517;;;;;
1968-01-01;3.51706036745405;3.078953155926989;3.647416413373872;;3.3670033670033517;;;-0.2156659643247519;;
1968-02-01;3.7780339551456654;3.37745071118678;3.6363636363636376;;2.3333333333333206;;;-0.15407393303126596;;
1968-03-01;4.033903625804425;3.6553238199780402;3.9393939393939315;;2.3333333333333206;;;-0.1882140874222809;;
1968-04-01;4.132533263762084;3.8139076113759662;3.92749244712991;;2.3333333333333206;;;-0.19060640554432706;;
1968-05-01;4.295085381091224;3.9923434509160582;4.229607250755274;;2.3333333333333206;;;-0.1770491992428605;;
1968-06-01;4.434750999636483;3.990623125988102;4.2042042042042205;;2.3333333333333206;;;-0.12236562067847659;;
1968-07-01;4.430183210847738;3.9608801955990147;4.491017964071853;;2.3333333333333206;;;-0.20835790089418765;;
1968-08-01;4.514497987823751;4.056762172994621;4.477611940298498;;0.0;;;-0.27579676161326816;;
1968-09-01;4.570694087403604;4.1038932987742305;4.464285714285721;;0.0;;;-0.2615807744934343;;
1968-10-01;4.604825078112995;4.275713516424351;4.7477744807121525;;0.0;;;-0.35312504745173146;;
