date,core_cpiUS,energy,food,ext_gdp,imp_us
5/1/2008,2.322215769,78.53816711,33.59965408,3.493136966,19.05564924
6/1/2008,2.391725921,86.82419055,36.46742966,3.371321554,21.25
7/1/2008,2.463313612,83.29603508,33.20592991,3.107367061,21.39917695
8/1/2008,2.498117176,64.04910225,23.72434625,2.763786875,18.08422791
9/1/2008,2.438620872,37.72226862,10.70161041,2.027415033,13.136289
10/1/2008,2.221362996,0.443064438,-5.515658404,0.167522498,4.854368932
11/1/2008,2.015893915,-27.17817002,-12.38263014,-1.266279262,-5.882352941
12/1/2008,1.762459656,-40.00025549,-17.01226639,-1.428700041,-10.05498822
1/1/2009,1.672350319,-40.55058045,-18.24050414,-1.064249568,-12.53869969
2/1/2009,1.800980653,-46.40550214,-25.37311689,0.224831181,-12.74131274
3/1/2009,1.787613096,-49.61552215,-27.54886315,0.369430725,-14.90636704
4/1/2009,1.932326622,-52.61339451,-22.57977227,0.062972482,-16.38747269
5/1/2009,1.846130941,-52.34946121,-18.68111024,0.853935483,-17.28045326
6/1/2009,1.711972668,-49.38787533,-21.72821375,1.600584155,-17.5257732
7/1/2009,1.527099298,-53.79993183,-24.41457649,1.365618131,-19.11864407
8/1/2009,1.433965054,-42.57812174,-19.58914011,0.945030127,-15.31468531
9/1/2009,1.479837389,-38.2709665,-15.20180942,0.697872853,-11.97387518
10/1/2009,1.712733177,-14.56395252,-0.567893326,0.983609197,-5.632716049
11/1/2009,1.714243571,10.72989247,8.902347427,1.651069294,3.416666667
12/1/2009,1.823671776,36.8291725,11.19685522,1.470626931,8.64628821
1/1/2010,1.512335171,41.06756007,10.84661573,1.249634426,11.4159292
2/1/2010,1.349452689,45.7496019,15.64774964,0.942502561,11.32743363
3/1/2010,1.159205143,47.79375969,16.99087099,1.279522857,11.17957746
4/1/2010,0.967508893,54.32362689,11.89253802,1.18466763,11.2369338
5/1/2010,0.940138143,27.86266954,0.959880937,1.619501023,8.476027397
6/1/2010,0.950198985,11.36721343,-1.400925012,1.219683458,4.333333333
7/1/2010,0.95775393,19.02316229,8.713220899,0.327433723,4.945515507
8/1/2010,0.917100995,11.12143881,13.12946805,0.776231875,3.798513625
9/1/2010,0.81438705,15.29251456,20.89226829,0.983316072,3.627370157
10/1/2010,0.602718355,11.96251911,21.43034285,0.962039927,3.924775143
11/1/2010,0.672056411,12.47291314,19.2463154,0.684403759,4.109589041
12/1/2010,0.661894866,18.23347875,24.78965811,0.432217079,5.305466238
1/1/2011,0.983533742,16.58548663,27.6763429,-0.260096252,5.639396346
2/1/2011,1.124445592,25.22797813,31.64314662,-0.580140495,7.551669316
3/1/2011,1.209785174,32.54188555,26.82595783,-0.151547306,10.29295329
4/1/2011,1.315539213,35.05004855,27.94556057,-0.35377469,11.90289742
5/1/2011,1.454096179,39.16597101,29.55390388,-0.343712445,12.94396212
6/1/2011,1.583677677,37.84318289,32.68944084,-0.23294396,13.57827476
7/1/2011,1.741483446,41.23578331,24.31842347,-0.324624706,13.73801917
8/1/2011,1.965157172,33.26316682,21.22521098,-0.298553753,12.88782816
9/1/2011,1.987722756,34.1699254,9.997594711,0.22553822,12.72871917
10/1/2011,2.10792048,25.32060311,4.167348946,0.447744305,11.09362707
11/1/2011,2.138204538,24.57878052,2.995582557,0.221740716,10.0619195
12/1/2011,2.276662634,15.92953154,-5.604468427,0.257888282,8.549618321
1/1/2012,2.277348151,12.7181034,-6.312494001,-0.833195988,6.917293233
2/1/2012,2.159820441,12.20572649,-6.85338026,-1.561003417,5.099778271
3/1/2012,2.248337465,7.450999806,-4.14012836,-1.188944906,3.51758794
4/1/2012,2.314427852,-2.426445113,-8.006141307,-0.869069232,0.839748076
5/1/2012,2.25225828,-5.152444807,-10.21756229,-0.720862324,-0.768693222
6/1/2012,2.192285611,-13.77613233,-8.677214139,-1.015342843,-2.461322082
7/1/2012,2.109955687,-11.41986319,-2.681954932,-0.790965095,-3.300561798
8/1/2012,1.935252499,-1.016929675,-1.330998127,-1.408084825,-1.761804087
9/1/2012,2.008243483,-0.749846186,1.414206509,-1.549961242,-0.635144672
10/1/2012,1.994649148,-1.534971627,2.757112819,-0.998925382,0
11/1/2012,1.952851269,-6.217629859,2.094852792,-0.857152675,-1.406469761
12/1/2012,1.899694378,-5.186921758,4.857294668,-1.188395262,-1.969057665
1/1/2013,1.909802218,-3.545685377,3.607671447,-1.383497727,-1.476793249
2/1/2013,1.988738521,-4.761093538,0.615516944,-1.453355729,-0.632911392
3/1/2013,1.889022138,-10.72677977,-1.218297776,-1.144096752,-2.080443828
4/1/2013,1.715558856,-10.33925107,1.562729896,-1.141659939,-2.706453851
5/1/2013,1.645551949,-3.502198094,8.620143402,-1.188089811,-1.830985915
6/1/2013,1.623095247,7.248649798,6.717199203,-1.00469522,0.072098053
7/1/2013,1.700221768,5.629503777,-0.766934831,-0.675891674,0.871459695
8/1/2013,1.782107691,1.687436908,-4.475619388,-0.736133792,0
9/1/2013,1.751936842,1.739507218,-5.507830153,0.073060327,-0.710227273
10/1/2013,1.686837731,1.667578313,-5.43866401,0.286421943,-1.628895184
11/1/2013,1.741667747,1.555884641,-3.795148555,-0.064834518,-1.783166904
12/1/2013,1.740856619,5.175573859,-2.854150715,0.554165921,-1.147776184
1/1/2014,1.607034436,0.765860036,-3.550027822,-0.174113902,-1.284796574
2/1/2014,1.55480739,1.919884331,-0.233769206,-0.648358121,-1.061571125
3/1/2014,1.645660971,1.577737615,5.344676455,-0.159185245,-0.495750708
4/1/2014,1.821055525,4.46751185,5.286549447,-0.810230313,-0.356633381
5/1/2014,1.945526962,4.977745159,-0.947150086,-0.909016473,0.50215208
6/1/2014,1.922862653,6.913611044,-1.676274642,-1.064380399,1.224783862
7/1/2014,1.844963229,-0.213113643,-2.299749037,-1.316128254,0.863930886
8/1/2014,1.736395603,-6.103016667,-4.262430445,-1.008877456,-0.286944046
9/1/2014,1.740945888,-9.997796276,-3.095561963,-0.670520434,-1.359084406
10/1/2014,1.81763231,-15.85740968,-3.070297616,-0.703489918,-2.087832973
11/1/2014,1.741594755,-20.83945343,-4.177681127,-0.343145686,-3.050108932
